实例规格,vCPU,内存,按量计费 (小时),包月,包1年,包2年,包3年,地域
"ml.ini2.28xlarge","112","936","NVIDIA A30 * 4","52.166","25457","305484","610968","916452","华北2（北京）"
"ml.ini2.28xlarge","112","936","NVIDIA A30 * 4","52.166","25457","305484","610968","916452","华南1（广州）"
"ml.ini2.28xlarge","112","936","NVIDIA A30 * 4","52.166","25457","305484","610968","916452","华东2（上海）"
"ml.pni2.3xlarge","14","245","NVIDIA A100 * 1","40.39","19708","236496","472992","709488","华北2（北京）"
"ml.pni2.3xlarge","14","245","NVIDIA A100 * 1","40.39","19708","236496","472992","709488","华东2（上海）"
"ml.pni2.7xlarge","28","490","NVIDIA A100 * 2","80.77","39416","472992","945984","1418976","华北2（北京）"
"ml.pni2.7xlarge","28","490","NVIDIA A100 * 2","80.77","39416","472992","945984","1418976","华东2（上海）"
"ml.pni2.14xlarge","56","980","NVIDIA A100 * 4","161.54","78832","945984","1891968","2837952","华北2（北京）"
"ml.pni2.14xlarge","56","980","NVIDIA A100 * 4","161.54","78832","945984","1891968","2837952","华东2（上海）"
"ml.pni2.28xlarge","112","1960","NVIDIA A100 * 8","323.08","157664","1891968","3783936","5675904","华北2（北京）"
"ml.pni2.28xlarge","112","1960","NVIDIA A100 * 8","323.08","157664","1891968","3783936","5675904","华东2（上海）"
"ml.hpcg1ve.21xlarge","84","342","NVIDIA V100 * 8","233.83","54158","649896","1299792","1949688","华北2（北京）"
"ml.hpcg1ve.21xlarge","84","342","NVIDIA V100 * 8","233.83","54158","649896","1299792","1949688","华东2（上海）"
"ml.hpcpni2.28xlarge","112","1960","NVIDIA A100 * 8","350.67","171128.51","2053542.12","4107084.24","6160626.36","华北2（北京）"
"ml.hpcpni2.28xlarge","112","1960","NVIDIA A100 * 8","350.67","171128.51","2053542.12","4107084.24","6160626.36","华东2（上海）"
"ml.hpcpni2l.28xlarge","112","1960","NVIDIA A800 * 8","338","162500","1950000","3900000","5850000","华北2（北京）"
"ml.hpcpni2l.28xlarge","112","1960","NVIDIA A800 * 8","338","162500","1950000","3900000","5850000","华东2（上海）"
,
,
,
类型,按量计费 (小时),包月,包1年,包2年,包3年,地域
"极速型SSD FlexPL","0.0042","2","24","48","72","华北2（北京）"
"极速型SSD FlexPL","0.0042","2","24","48","72","华南1（广州）"
"极速型SSD FlexPL","0.0042","2","24","48","72","华东2（上海）"
