计费项,是否计费,地域
"计算节点","是，会根据节点规格和使用时长计费。",-
"存储空间","是，会根据存储数据量大小和存储时长计费。",-
"备份","否，备份功能及备份文件所占用的存储空间均暂不收费。",-
,
,
,
计费项,是否计费,地域
"数据分片节点","是，会根据数据分片（即Shard）数、每个分片中的节点（即Shard节点）数、节点规格，以及使用时长计费。",-
"分片代理节点","是，会根据分片代理节点（即Mongos节点）数、节点规格以及使用时长计费。",-
"元数据处理节点","是，会根据元数据处理节点（即 ConfigServer 节点）数、节点规格以及使用时长计费。",-
"存储空间","是，会根据存储数据量大小和存储时长计费。说明：仅数据分片组件（即 Shard）和元数据处理节点（即 ConfigServer 节点）会产生存储空间费用。",-
"备份","否，备份功能及备份文件所占用的存储空间均暂不收费。",-
,
,
,
规格码,CPU和内存,默认最大连接数,按量计费 (小时),包月,包1年,包2年,包3年,地域
"Mongos","mongo.mongos.8c32g","8 核 32GiB","16000","2.4167","1160","13920","27840","41760","华南1（广州）"
"Mongos","mongo.mongos.8c32g","8 核 32GiB","16000","2.4167","1160","13920","27840","41760","华北2（北京）"
"Mongos","mongo.mongos.8c32g","8 核 32GiB","16000","3.020875","1450","17400","34800","52200","亚太东南（柔佛）"
"Mongos","mongo.mongos.8c64g","8 核 64GiB","16000","5.0781","2437.5","29250","58500","87750","亚太东南（雅加达）"
"Mongos","mongo.mongos.8c64g","8 核 64GiB","16000","5.0781","2437.5","29250","58500","87750","中国香港"
"Mongos","mongo.mongos.8c64g","8 核 64GiB","16000","5.0781","2437.5","29250","58500","87750","亚太东南（柔佛）"
"Mongos","mongo.mongos.8c64g","8 核 64GiB","16000","4.0625","1950","23400","46800","70200","华北2（北京）"
"Mongos","mongo.mongos.8c64g","8 核 64GiB","16000","4.0625","1950","23400","46800","70200","华南1（广州）"
"Mongos","mongo.mongos.8c64g","8 核 64GiB","16000","4.0625","1950","23400","46800","70200","华东2（上海）"
"Mongos","mongo.mongos.16c32g","16 核 32GiB","24000","3.5415","1700","20400","40800","61200","亚太东南（雅加达）"
"Mongos","mongo.mongos.16c32g","16 核 32GiB","24000","3.5415","1700","20400","40800","61200","中国香港"
"Mongos","mongo.mongos.16c32g","16 核 32GiB","24000","3.5415","1700","20400","40800","61200","亚太东南（柔佛）"
"Mongos","mongo.mongos.16c32g","16 核 32GiB","24000","2.8332","1360","16320","32640","48960","华北2（北京）"
"Mongos","mongo.mongos.16c32g","16 核 32GiB","24000","2.8332","1360","16320","32640","48960","华南1（广州）"
"Mongos","mongo.mongos.16c32g","16 核 32GiB","24000","2.8332","1360","16320","32640","48960","华东2（上海）"
"Mongos","mongo.mongos.16c64g","16 核 64GiB","24000","6.041625","2900","34800","69600","104400","亚太东南（雅加达）"
"Mongos","mongo.mongos.16c64g","16 核 64GiB","24000","6.041625","2900","34800","69600","104400","中国香港"
