实例规格,vCPU,内存,按量计费(元/小时),包月(元/月),包年单价,包3年单价,地域
"kibana.x2.medium","标准版-kibana-2C4G节点","0.87","243.18","华北2（北京）"
"kibana.x2.medium","标准版-kibana-2C4G节点","0.67","323.82","亚太东南（柔佛）"
"kibana.x4.medium","标准版-kibana-2C8G节点","1.01","485.82","中国香港"
"kibana.x4.medium","标准版-kibana-2C8G节点","0.99","440.11","亚太东南（雅加达）"
"kibana.x4.medium","标准版-kibana-2C8G节点","1.31","364.86","华东2（上海）"
"kibana.x4.medium","标准版-kibana-2C8G节点","1.31","364.86","华南1（广州）"
"kibana.x4.medium","标准版-kibana-2C8G节点","1.31","364.86","华北2（北京）"
"kibana.x4.medium","标准版-kibana-2C8G节点","1.01","485.82","亚太东南（柔佛）"
"kibana.x2.large","标准版-kibana-4C8G节点","1.34","647.64","中国香港"
"kibana.x2.large","标准版-kibana-4C8G节点","1.54","768.61","亚太东南（雅加达）"
"kibana.x2.large","标准版-kibana-4C8G节点","1.74","486.36","华东2（上海）"
"kibana.x2.large","标准版-kibana-4C8G节点","1.74","486.36","华南1（广州）"
"kibana.x2.large","标准版-kibana-4C8G节点","1.74","486.36","华北2（北京）"
"kibana.x2.large","标准版-kibana-4C8G节点","1.34","647.64","亚太东南（柔佛）"
"kibana.x4.large","标准版-kibana-4C16G节点","2.01","971.64","中国香港"
"kibana.x4.large","标准版-kibana-4C16G节点","2.01","880.21","亚太东南（雅加达）"
"kibana.x4.large","标准版-kibana-4C16G节点","2.61","729.72","华东2（上海）"
"kibana.x4.large","标准版-kibana-4C16G节点","2.61","729.72","华南1（广州）"
"kibana.x4.large","标准版-kibana-4C16G节点","2.61","729.72","华北2（北京）"
"kibana.x4.large","标准版-kibana-4C16G节点","2.01","971.64","亚太东南（柔佛）"
"kibana.x2.xlarge","标准版-kibana-8C16G节点","2.69","1295.28","中国香港"
"kibana.x2.xlarge","标准版-kibana-8C16G节点","3.02","1494.91","亚太东南（雅加达）"
"kibana.x2.xlarge","标准版-kibana-8C16G节点","3.48","972.72","华东2（上海）"
"kibana.x2.xlarge","标准版-kibana-8C16G节点","3.48","972.72","华南1（广州）"
"kibana.x2.xlarge","标准版-kibana-8C16G节点","3.48","972.72","华北2（北京）"
"kibana.x2.xlarge","标准版-kibana-8C16G节点","2.69","1295.28","亚太东南（柔佛）"
"kibana.x4.xlarge","标准版-kibana-8C32G节点","4.03","1943.28","中国香港"
"kibana.x4.xlarge","标准版-kibana-8C32G节点","3.97","1723.51","亚太东南（雅加达）"
"kibana.x4.xlarge","标准版-kibana-8C32G节点","5.22","1459.44","华东2（上海）"
"kibana.x4.xlarge","标准版-kibana-8C32G节点","5.22","1459.44","华南1（广州）"
"kibana.x4.xlarge","标准版-kibana-8C32G节点","5.22","1459.44","华北2（北京）"
"kibana.x4.xlarge","标准版-kibana-8C32G节点","4.03","1943.28","亚太东南（柔佛）"
"kibana.x2.2xlarge","标准版-kibana-16C32G节点","5.38","2590.56","中国香港"
"kibana.x2.2xlarge","标准版-kibana-16C32G节点","6.26","2970.91","亚太东南（雅加达）"
"kibana.x2.2xlarge","标准版-kibana-16C32G节点","6.96","1945.44","华东2（上海）"
"kibana.x2.2xlarge","标准版-kibana-16C32G节点","6.96","1945.44","华南1（广州）"
"kibana.x2.2xlarge","标准版-kibana-16C32G节点","6.96","1945.44","华北2（北京）"
"kibana.x2.2xlarge","标准版-kibana-16C32G节点","5.38","2590.56","亚太东南（柔佛）"
"kibana.x4.2xlarge","标准版-kibana-16C64G节点","8.06","3886.56","中国香港"
"kibana.x4.2xlarge","标准版-kibana-16C64G节点","7.88","3409.21","亚太东南（雅加达）"
"kibana.x4.2xlarge","标准版-kibana-16C64G节点","10.45","2918.88","华东2（上海）"
"kibana.x4.2xlarge","标准版-kibana-16C64G节点","10.45","2918.88","华南1（广州）"
"kibana.x4.2xlarge","标准版-kibana-16C64G节点","10.45","2918.88","华北2（北京）"
"kibana.x4.2xlarge","标准版-kibana-16C64G节点","8.06","3886.56","亚太东南（柔佛）"
"kibana.x2.3xlarge","标准版-kibana-32C64G节点","10.76","5181.12","中国香港"
"kibana.x2.3xlarge","标准版-kibana-32C64G节点","12.47","5904.91","亚太东南（雅加达）"
"kibana.x2.3xlarge","标准版-kibana-32C64G节点","13.93","3890.88","华东2（上海）"
"kibana.x2.3xlarge","标准版-kibana-32C64G节点","13.93","3890.88","华南1（广州）"
"kibana.x2.3xlarge","标准版-kibana-32C64G节点","13.93","3890.88","华北2（北京）"
"kibana.x2.3xlarge","标准版-kibana-32C64G节点","10.76","5181.12","亚太东南（柔佛）"
"kibana.x4.3xlarge","标准版-kibana-32C128G节点","16.12","7773.12","中国香港"
"kibana.x4.3xlarge","标准版-kibana-32C128G节点","15.75","6818.41","亚太东南（雅加达）"
"kibana.x4.3xlarge","标准版-kibana-32C128G节点","20.9","5837.76","华东2（上海）"
"kibana.x4.3xlarge","标准版-kibana-32C128G节点","20.9","5837.76","华南1（广州）"
"kibana.x4.3xlarge","标准版-kibana-32C128G节点","20.9","5837.76","华北2（北京）"
"kibana.x4.3xlarge","标准版-kibana-32C128G节点","16.12","7773.12","亚太东南（柔佛）"
,
,
,
计费项,按量计费（元/MBps/小时）,包年包月（元/MBps/月）,地域
"标准版-高性能云盘-FlexPL-带宽包","0.00522","3.75","中国香港"
"标准版-高性能云盘-FlexPL-带宽包","0.00522","3.75","亚太东南（柔佛）"
"标准版-高性能云盘-FlexPL-带宽包","0.00348","2.5","华东2（上海）"
"标准版-高性能云盘-FlexPL-带宽包","0.00348","2.5","华南1（广州）"
"标准版-高性能云盘-FlexPL-带宽包","0.00348","2.5","华北2（北京）"
"标准版-高性能云盘-FlexPL-带宽包","0.00547","3.8","亚太东南（雅加达）"
"标准版-高性能云盘-TL0-带宽包","0.00244","1.75","华东2（上海）"
"标准版-高性能云盘-TL0-带宽包","0.00244","1.75","华北2（北京）"
"标准版-高性能云盘-TL0-带宽包","0.00365","2.62","亚太东南（柔佛）"
