实例类型,规格类型,推荐TPS峰值,建议队列数,按量付费 (小时),包月,包1年,包2年,包3年,地域
"单机","rabbitmq.n1.x2.medium","3,000","200","2.52","1723.68","20684.16","41368.32","62052.48","中国香港"
"单机","rabbitmq.n1.x2.medium","3,000","200","2.52","1723.68","20684.16","41368.32","62052.48","亚太东南（雅加达）"
"单机","rabbitmq.n1.x2.medium","3,000","200","1.13","541","6492","12984","19476","华东2（上海）"
"单机","rabbitmq.n1.x2.medium","3,000","200","1.13","541","6492","12984","19476","华南1（广州）"
"单机","rabbitmq.n1.x2.medium","3,000","200","1.13","541","6492","12984","19476","华北2（北京）"
"单机","rabbitmq.n1.x2.medium","3,000","200","1.5","719.5","8634","17268","25902","亚太东南（柔佛）"
"集群","rabbitmq.n3.x2.small","4,500","300","3.78","2585.52","31026.24","62052.48","93078.72","中国香港"
"集群","rabbitmq.n3.x2.small","4,500","300","3.78","2585.52","31026.24","62052.48","93078.72","亚太东南（雅加达）"
"集群","rabbitmq.n3.x2.small","4,500","300","3.94","1890","22680","45360","68040","华东2（上海）"
"集群","rabbitmq.n3.x2.small","4,500","300","3.94","1890","22680","45360","68040","华南1（广州）"
"集群","rabbitmq.n3.x2.small","4,500","300","3.94","1890","22680","45360","68040","华北2（北京）"
"集群","rabbitmq.n3.x2.small","4,500","300","5.24","2513","30156","60312","90468","亚太东南（柔佛）"
"集群","rabbitmq.n3.x2.medium","9,000","600","7.56","5171.04","62052.48","124104.96","186157.44","中国香港"
"集群","rabbitmq.n3.x2.medium","9,000","600","7.56","5171.04","62052.48","124104.96","186157.44","亚太东南（雅加达）"
"集群","rabbitmq.n3.x2.medium","9,000","600","6.58","3158","37896","75792","113688","华北2（北京）"
"集群","rabbitmq.n3.x2.medium","9,000","600","6.58","3158","37896","75792","113688","华南1（广州）"
"集群","rabbitmq.n3.x2.medium","9,000","600","6.58","3158","37896","75792","113688","华东2（上海）"
"集群","rabbitmq.n3.x2.medium","9,000","600","8.75","4200.1","50401.2","100802.4","151203.6","亚太东南（柔佛）"
"集群","rabbitmq.n5.x2.medium","15,000","1000","12.6","8618.4","103420.8","206841.6","310262.4","中国香港"
"集群","rabbitmq.n5.x2.medium","15,000","1000","12.6","8618.4","103420.8","206841.6","310262.4","亚太东南（雅加达）"
"集群","rabbitmq.n5.x2.medium","15,000","1000","9.21","4421","53052","106104","159156","华东2（上海）"
"集群","rabbitmq.n5.x2.medium","15,000","1000","9.21","4421","53052","106104","159156","华北2（北京）"
"集群","rabbitmq.n5.x2.medium","15,000","1000","9.21","4421","53052","106104","159156","华南1（广州）"
"集群","rabbitmq.n5.x2.medium","15,000","1000","12.25","5879.9","70558.8","141117.6","211676.4","亚太东南（柔佛）"
"集群","rabbitmq.n7.x2.medium","21,000","1400","17.64","12065.76","144789.12","289578.24","434367.36","中国香港"
"集群","rabbitmq.n7.x2.medium","21,000","1400","17.64","12065.76","144789.12","289578.24","434367.36","亚太东南（雅加达）"
"集群","rabbitmq.n7.x2.medium","21,000","1400","11.84","5684","68208","136416","204624","华北2（北京）"
"集群","rabbitmq.n7.x2.medium","21,000","1400","11.84","5684","68208","136416","204624","华南1（广州）"
"集群","rabbitmq.n7.x2.medium","21,000","1400","11.84","5684","68208","136416","204624","华东2（上海）"
"集群","rabbitmq.n7.x2.medium","21,000","1400","15.75","7559.7","90716.4","181432.8","272149.2","亚太东南（柔佛）"
"集群","rabbitmq.n7.x2.large","42,000","2,800","35.28","24131.52","289578.24","579156.48","868734.72","中国香港"
"集群","rabbitmq.n7.x2.large","42,000","2,800","35.28","24131.52","289578.24","579156.48","868734.72","亚太东南（雅加达）"
"集群","rabbitmq.n7.x2.large","42,000","2,800","23.36","11215","134580","269160","403740","华东2（上海）"
"集群","rabbitmq.n7.x2.large","42,000","2,800","23.36","11215","134580","269160","403740","华南1（广州）"
"集群","rabbitmq.n7.x2.large","42,000","2,800","23.36","11215","134580","269160","403740","华北2（北京）"
"集群","rabbitmq.n7.x2.large","42,000","2,800","35.04","16822.5","201870","403740","605610","亚太东南（柔佛）"
"集群","rabbitmq.n9.x2.large","54,000","3,600","45.36","31026.24","372314.88","744629.76","1116944.64","中国香港"
"集群","rabbitmq.n9.x2.large","54,000","3,600","45.36","31026.24","372314.88","744629.76","1116944.64","亚太东南（雅加达）"
"集群","rabbitmq.n9.x2.large","54,000","3,600","44.46","21340","256080","512160","768240","华东2（上海）"
"集群","rabbitmq.n9.x2.large","54,000","3,600","44.46","21340","256080","512160","768240","华南1（广州）"
"集群","rabbitmq.n9.x2.large","54,000","3,600","44.46","21340","256080","512160","768240","华北2（北京）"
"集群","rabbitmq.n9.x2.large","54,000","3,600","66.69","32010","384120","768240","1152360","亚太东南（柔佛）"
"集群","rabbitmq.n3.x2.2xlarge","36,000","2,400","30.24","20684.16","248209.92","496419.84","744629.76","中国香港"
"集群","rabbitmq.n3.x2.2xlarge","36,000","2,400","30.24","20684.16","248209.92","496419.84","744629.76","亚太东南（雅加达）"
"集群","rabbitmq.n3.x2.2xlarge","36,000","2,400","26.67","12800","153600","307200","460800","华东2（上海）"
"集群","rabbitmq.n3.x2.2xlarge","36,000","2,400","26.67","12800","153600","307200","460800","华南1（广州）"
"集群","rabbitmq.n3.x2.2xlarge","36,000","2,400","26.67","12800","153600","307200","460800","华北2（北京）"
"集群","rabbitmq.n3.x2.2xlarge","36,000","2,400","26.67","12800","153600","307200","460800","亚太东南（柔佛）"
"集群","rabbitmq.n5.x2.2xlarge","60,000","4,000","50.4","34473.6","413683.2","827366.4","1241049.6","中国香港"
"集群","rabbitmq.n5.x2.2xlarge","60,000","4,000","50.4","34473.6","413683.2","827366.4","1241049.6","亚太东南（雅加达）"
"集群","rabbitmq.n5.x2.2xlarge","60,000","4,000","46.88","22500","270000","540000","810000","华东2（上海）"
"集群","rabbitmq.n5.x2.2xlarge","60,000","4,000","46.88","22500","270000","540000","810000","华南1（广州）"
"集群","rabbitmq.n5.x2.2xlarge","60,000","4,000","46.88","22500","270000","540000","810000","华北2（北京）"
"集群","rabbitmq.n5.x2.2xlarge","60,000","4,000","46.88","22500","270000","540000","810000","亚太东南（柔佛）"
"集群","rabbitmq.n7.x2.2xlarge","84,000","5,600","70.56","43182.72","518192.64","1036385.28","1554577.92","中国香港"
"集群","rabbitmq.n7.x2.2xlarge","84,000","5,600","70.56","43182.72","518192.64","1036385.28","1554577.92","亚太东南（雅加达）"
"集群","rabbitmq.n7.x2.2xlarge","84,000","5,600","65.62","31500","378000","756000","1134000","华东2（上海）"
"集群","rabbitmq.n7.x2.2xlarge","84,000","5,600","65.62","31500","378000","756000","1134000","华南1（广州）"
"集群","rabbitmq.n7.x2.2xlarge","84,000","5,600","65.62","31500","378000","756000","1134000","华北2（北京）"
"集群","rabbitmq.n7.x2.2xlarge","84,000","5,600","65.62","31500","378000","756000","1134000","亚太东南（柔佛）"
"集群","rabbitmq.n7.x2.4xlarge","126,000","8,400","105.84","64774.08","777288.96","1554577.92","2331866.88","中国香港"
"集群","rabbitmq.n7.x2.4xlarge","126,000","8,400","105.84","64774.08","777288.96","1554577.92","2331866.88","亚太东南（雅加达）"
"集群","rabbitmq.n7.x2.4xlarge","126,000","8,400","131.25","63000","756000","1512000","2268000","华东2（上海）"
"集群","rabbitmq.n7.x2.4xlarge","126,000","8,400","131.25","63000","756000","1512000","2268000","华南1（广州）"
"集群","rabbitmq.n7.x2.4xlarge","126,000","8,400","131.25","63000","756000","1512000","2268000","华北2（北京）"
"集群","rabbitmq.n7.x2.4xlarge","126,000","8,400","131.25","63000","756000","1512000","2268000","亚太东南（柔佛）"
,
,
,
规格类型,按量计费 (小时),包月,包1年,包2年,包3年,单位,地域
"rabbitmq.storage.high","0.0033","1.33","15.96","31.92","47.88","GiB","亚太东南（柔佛）"
"rabbitmq.storage.high","0.0025","1","12","24","36","GiB","华北2（北京）"
"rabbitmq.storage.high","0.0025","1","12","24","36","GiB","华东2（上海）"
"rabbitmq.storage.high","0.0025","1","12","24","36","GiB","华南1（广州）"
"rabbitmq.storage.high","0.0025","1","12","24","36","GiB","亚太东南（雅加达）"
"rabbitmq.storage.high","0.0025","1","12","24","36","GiB","中国香港"
