模型提供方,模型,上下文长度,服务类型 ,定价（单位：元/千tokens）
"字节跳动","Doubao-Seedance-1.5-pro（有声视频）","0.02","千tokens","200万tokens"
"字节跳动","Doubao-Seedance-1.5-pro（无声视频）","0.01","千tokens","200万tokens"
"字节跳动","Doubao-Seedance-1.0-pro","0.02","千tokens","200万tokens"
"字节跳动","Doubao-Seedance-1.0-lite","0.01","千tokens","200万tokens"
"阿里云Wan-AI","Wan2.1-14B","0.05","千tokens","200万tokens"
"字节跳动","Doubao-Seedream4.0","0.2","张","200张"
"字节跳动","Doubao-Seedream3.0","0.26","张","200张"
"字节跳动","Doubao-SeedEdit3.0","0.3","张","200张"
,
,
,
模型提供方,模型,服务类型,定价（单位：元/万字符）,免费额度
"字节跳动","语音合成大模型","推理服务","5","5000 字符"
"字节跳动","声音复刻大模型","推理服务","8","5000 字符"
,
,
,
模型提供方,模型,最长输入长度,服务类型,定价（单位：元/千tokens）,免费额度
"字节跳动","Doubao-embedding","4K","推理服务","0.0005","50万tokens"
"字节跳动","Doubao-embedding-large","4K","推理服务","0.0007","50万tokens"
"字节跳动","Doubao-embedding-vision（文本输入）","8k","推理服务","0.0007","50万tokens"
"字节跳动","Doubao-embedding-vision（图像输入）","8k","推理服务","0.0018","50万tokens"
,
,
,
模型提供方,模型,服务类型,定价（单位：元/千tokens）
"字节跳动","Doubao_Seed_1.6_flash","全参微调","0.014"
"字节跳动","Doubao_seed_1.6","全参微调","0.08"
"字节跳动","Doubao_Seed_1.6_flash（lora）","模型精调（LoRA）","0.007"
"字节跳动","Doubao_seed_1.6（lora）","模型精调（LoRA）","0.04"
"字节跳动","Doubao-lite-4k","模型精调（LoRA）","0.03"
"字节跳动","Doubao-lite-32k","模型精调（LoRA）","0.03"
"字节跳动","Doubao-lite-128k","模型精调（LoRA）","0.03"
"字节跳动","Doubao-pro-4k","模型精调（LoRA）","0.05"
"字节跳动","Doubao-pro-32k","模型精调（LoRA）","0.05"
"字节跳动","Doubao-pro-128k","模型精调（LoRA）","0.05"
,
,
,
模型提供方,模型,定价（单位：元/个）,计费方式
"字节跳动 ","方舟A型模型单元","25","小时后付费"
"字节跳动 ","方舟B型模型单元","15","小时后付费"
"字节跳动 ","方舟C型模型单元","10","小时后付费"
"字节跳动 ","方舟D型模型单元","20","小时后付费"
,
,
,
计费项,定义,如何计量,单价,单位
"计算资源-知识库","使用知识库时，构建索引、自动优化分析、线上检索依赖的计算资源","按 CU（Compute Unit）计量，1 CU包含的计算资源为 8 GB 内存和 1 CPU Core。 例如，32 CU所包含的计算资源为 256 GB 内存和 32 CPU Core，若运行 5 小时，则计算费用 = 5×32×0.45 =72元。","0.45","元/CU/小时"
,
,
,
计费项,定义,如何计量,单价,单位
"离线存储资源-知识库","向量和向量相关的数据属性所需的存储资源","按占用的 GB 计量","0.0015","元/GB/小时"
,
,
,
计费项,定义,如何计量,单价,单位
"文本向量模型-知识库","使用知识库，提供文本向量服务，帮助开发者将文本数据快速转换为向量数据。","按输入的 tokens 计量。通常 1 个汉字、1 个英文字母、1 个数字或 1 个符号计为 1 个 token。","0.0005","元/千Tokens"
"文本向量模型（多功能版）-知识库","使用知识库，提供文本向量服务，帮助开发者将文本数据快速转换为向量数据。支持多语言和长文本，可同时进行稀疏和稠密索引构建和检索。","按输入的 tokens 计量。通常 1 个汉字、1 个英文字母、1 个数字或 1 个符号计为 1 个 token。","0.0005","元/千Tokens"
"文本向量模型（豆包embedding）-知识库","使用知识库，提供文本向量服务，帮助开发者将文本数据快速转换为向量数据。字节跳动自研向量化模型，支持中英双语和高精度纯语义检索。","按输入的 tokens 计量。通常 1 个汉字、1 个英文字母、1 个数字或 1 个符号计为 1 个 token。","0.0005","元/千Tokens"
"文本向量模型（豆包embedding-large）-知识库","使用知识库，提供文本向量服务，帮助开发者将文本数据快速转换为向量数据。字节跳动自研向量化模型，支持中英双语和高精度纯语义检索。","按输入的 tokens 计量。通常 1 个汉字、1 个英文字母、1 个数字或 1 个符号计为 1 个 token。","0.0007","元/千Tokens"
"大语言模型输入（Doubao-pro-256k）-知识库","使用知识库，调用 Doubao 大语言模型服务，根据检索召回的结果生成智能回复。","按输入的 tokens 计量。通常 1 个汉字、1 个英文字母、1 个数字或 1 个符号计为 1 个 token。","0.005","元/千Tokens"
"大语言模型输出（Doubao-pro-256k）-知识库","使用知识库，调用 Doubao 大语言模型服务，根据检索召回的结果生成智能回复。","按输入的 tokens 计量。通常 1 个汉字、1 个英文字母、1 个数字或 1 个符号计为 1 个 token。","0.009","元/千Tokens"
"大语言模型输入（Doubao-pro-128k）-知识库","使用知识库，调用 Doubao 大语言模型服务，根据检索召回的结果生成智能回复。","按输入的 tokens 计量。通常 1 个汉字、1 个英文字母、1 个数字或 1 个符号计为 1 个 token。","0.005","元/千Tokens"
