计费项,说明,地域
"节点规格","SQL Server 主实例和只读实例节点规格的费用。计费方式为包年包月或按量计费。",-
"存储空间","SQL Server 实例存储空间的费用。计费方式为包年包月或按量计费。",-
,
,
,
类型,规格类型,节点规格,按量计费（元/小时）,包月,包1年,包2年,包3年,地域
" 标准版-高可用","通用型","rds.mssql.se.ha.d4.16c64g","28.8","13824","165888","331776","497664","华北2（北京）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.medium.s2","2.1","1008","12096","24192","36288","华东2（上海）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.medium.s2","3.57","1714","20568","41136","61704","中国香港"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.medium.s2","2.1","1008","12096","24192","36288","华南1（广州）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.medium.s2","2.1","1008","12096","24192","36288","华北2（北京）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.medium.s2","5.67","2722","32664","65328","97992","亚太东南（雅加达）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.medium.s2","3.78","1814","21768","43536","65304","亚太东南（柔佛）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.large.s2","4.2","2016","24192","48384","72576","华东2（上海）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.large.s2","7.14","3427","41124","82248","123372","中国香港"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.large.s2","4.2","2016","24192","48384","72576","华南1（广州）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.large.s2","4.2","2016","24192","48384","72576","华北2（北京）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.large.s2","11.64","5443","65316","130632","195948","亚太东南（雅加达）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.large.s2","7.56","3629","43548","87096","130644","亚太东南（柔佛）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.xlarge.s2","8.4","4032","48384","96768","145152","华东2（上海）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.xlarge.s2","14.28","6854","82248","164496","246744","中国香港"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.xlarge.s2","8.4","4032","48384","96768","145152","华南1（广州）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.xlarge.s2","8.4","4032","48384","96768","145152","华北2（北京）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.xlarge.s2","22.68","10886","130632","261264","391896","亚太东南（雅加达）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.xlarge.s2","15.12","7258","87096","174192","261288","亚太东南（柔佛）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.s2","16.8","8064","96768","193536","290304","华东2（上海）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.s2","28.56","13709","164508","329016","493524","中国香港"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.s2","16.8","8064","96768","193536","290304","华南1（广州）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.s2","16.8","8064","96768","193536","290304","华北2（北京）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.s2","45.36","21773","261276","522552","783828","亚太东南（雅加达）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.s2","30.24","14515","174180","348360","522540","亚太东南（柔佛）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.medium.s2","3.6","1728","20736","41472","62208","华东2（上海）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.medium.s2","6.12","2938","35256","70512","105768","中国香港"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.medium.s2","3.6","1728","20736","41472","62208","华南1（广州）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.medium.s2","3.6","1728","20736","41472","62208","华北2（北京）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.medium.s2","9.72","4666","55992","111984","167976","亚太东南（雅加达）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.medium.s2","6.48","3110","37320","74640","111960","亚太东南（柔佛）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.large.s2","7.2","3456","41472","82944","124416","华东2（上海）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.large.s2","12.24","5875","70500","141000","211500","中国香港"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.large.s2","7.2","3456","41472","82944","124416","华南1（广州）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.large.s2","7.2","3456","41472","82944","124416","华北2（北京）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.large.s2","19.44","9331","111972","223944","335916","亚太东南（雅加达）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.large.s2","12.96","6221","74652","149304","223956","亚太东南（柔佛）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.xlarge.s2","14.4","6912","82944","165888","248832","华东2（上海）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.xlarge.s2","24.48","11750","141000","282000","423000","中国香港"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.xlarge.s2","14.4","6912","82944","165888","248832","华南1（广州）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.xlarge.s2","14.4","6912","82944","165888","248832","华北2（北京）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.xlarge.s2","38.88","18662","223944","447888","671832","亚太东南（雅加达）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.xlarge.s2","25.92","12442","149304","298608","447912","亚太东南（柔佛）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.s2","28.8","13824","165888","331776","497664","华东2（上海）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.s2","48.96","23501","282012","564024","846036","中国香港"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.s2","28.8","13824","165888","331776","497664","华南1（广州）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.s2","28.8","13824","165888","331776","497664","华北2（北京）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.s2","77.76","37325","447900","895800","1343700","亚太东南（雅加达）"
" 标准版-高可用","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.s2","51.84","24883","298596","597192","895788","亚太东南（柔佛）"
"标准版-基础版","独享型","rds.mssql.se.std.x8.2c16g","3.75","1800","21600","43200","64800","华东2（上海）"
"标准版-基础版","独享型","rds.mssql.se.std.x8.2c16g","3.75","1800","21600","43200","64800","华南1（广州）"
"标准版-基础版","独享型","rds.mssql.se.std.x8.2c16g","3.75","1800","21600","43200","64800","华北2（北京）"
" 标准版-基础版","独享型","rds.mssql.se.std.x8.4c32g","7.5","3600","43200","86400","129600","华东2（上海）"
" 标准版-基础版","独享型","rds.mssql.se.std.x8.4c32g","7.5","3600","43200","86400","129600","华南1（广州）"
" 标准版-基础版","独享型","rds.mssql.se.std.x8.4c32g","7.5","3600","43200","86400","129600","华北2（北京）"
" 标准版-基础版","独享型","rds.mssql.se.std.x8.8c64g","15","7200","86400","172800","259200","华东2（上海）"
" 标准版-基础版","独享型","rds.mssql.se.std.x8.8c64g","15","7200","86400","172800","259200","华南1（广州）"
" 标准版-基础版","独享型","rds.mssql.se.std.x8.8c64g","15","7200","86400","172800","259200","华北2（北京）"
" 标准版-基础版","独享型","rds.mssql.se.std.x8.16c128g","30","14400","172800","345600","518400","华东2（上海）"
" 标准版-基础版","独享型","rds.mssql.se.std.x8.16c128g","30","14400","172800","345600","518400","华南1（广州）"
" 标准版-基础版","独享型","rds.mssql.se.std.x8.16c128g","30","14400","172800","345600","518400","华北2（北京）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.medium.s1","3.75","1800","21600","43200","64800","华东2（上海）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.medium.s1","6.38","3060","36720","73440","110160","中国香港"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.medium.s1","3.75","1800","21600","43200","64800","华南1（广州）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.medium.s1","3.75","1800","21600","43200","64800","华北2（北京）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.medium.s1","6","2880","34560","69120","103680","亚太东南（雅加达）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.medium.s1","5.63","2700","32400","64800","97200","亚太东南（柔佛）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.large.s1","7.5","3600","43200","86400","129600","华东2（上海）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.large.s1","12.75","6120","73440","146880","220320","中国香港"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.large.s1","7.5","3600","43200","86400","129600","华南1（广州）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.large.s1","7.5","3600","43200","86400","129600","华北2（北京）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.large.s1","12","5760","69120","138240","207360","亚太东南（雅加达）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.large.s1","11.25","5400","64800","129600","194400","亚太东南（柔佛）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.xlarge.s1","15","7200","86400","172800","259200","华东2（上海）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.xlarge.s1","25.5","12240","146880","293760","440640","中国香港"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.xlarge.s1","15","7200","86400","172800","259200","华南1（广州）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.xlarge.s1","15","7200","86400","172800","259200","华北2（北京）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.xlarge.s1","24","11520","138240","276480","414720","亚太东南（雅加达）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.xlarge.s1","22.5","10800","129600","259200","388800","亚太东南（柔佛）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.2xlarge.s1","30","14400","172800","345600","518400","华东2（上海）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.2xlarge.s1","51","24480","293760","587520","881280","中国香港"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.2xlarge.s1","30","14400","172800","345600","518400","华南1（广州）"
" 标准版-基础版","独享Ⅱ型","rds.mssql.3il.x8.2xlarge.s1","30","14400","172800","345600","518400","华北2（北京）"
