E-MapReduce服务费-核数,按量计费 (小时),包月,包1年,地域
"1","0.08","40","480","亚太东南（柔佛）"
"1","0.05","25","300","华东2（上海）"
"1","0.05","25","300","华南1（广州）"
"1","0.05","25","300","华北2（北京）"
,
,
,
实例规格,vCPU,内存（GiB）,按量计费 (小时),包月,包1年,包2年,包3年,地域
"ecs.c1ie.6xlarge","24","48","4.4868","2189.57","26274.79","52549.57","78824.36","华南1（广州）"
"ecs.c1ie.6xlarge","24","48","4.4868","2189.57","26274.79","52549.57","78824.36","华东2（上海）"
"ecs.c1ie.14xlarge","56","112","10.4692","5108.99","61307.88","122615.76","183923.64","华东2（上海）"
"ecs.c1ie.14xlarge","56","112","10.4692","5108.99","61307.88","122615.76","183923.64","华南1（广州）"
"ecs.c1ie.14xlarge","56","112","10.4692","5108.99","61307.88","122615.76","183923.64","华北2（北京）"
"ecs.c1ie.16xlarge","64","128","11.9648","5838.84","70066.08","140132.16","210198.24","华北2（北京）"
"ecs.c1ie.16xlarge","64","128","11.9648","5838.84","70066.08","140132.16","210198.24","华南1（广州）"
"ecs.c1ie.16xlarge","64","128","11.9648","5838.84","70066.08","140132.16","210198.24","华东2（上海）"
"ecs.c1ie.29xlarge","116","232","21.6863","10582.9","126994.8","253989.6","380984.4","华东2（上海）"
"ecs.c1ie.29xlarge","116","232","21.6863","10582.9","126994.8","253989.6","380984.4","华南1（广州）"
"ecs.c1ie.29xlarge","116","232","21.6863","10582.9","126994.8","253989.6","380984.4","华北2（北京）"
"ecs.c2i.14xlarge","56","112","15.8138","8758.4","105100.8","210201.6","315302.4","亚太东南（柔佛）"
"ecs.c2i.14xlarge","56","112","14.1721","6916","82992","165984","248976","华北2（北京）"
"ecs.c2i.14xlarge","56","112","14.1721","6916","82992","165984","248976","华南1（广州）"
"ecs.c2i.14xlarge","56","112","14.1721","6916","82992","165984","248976","华东2（上海）"
"ecs.c2i.16xlarge","64","128","16.1967","7904","94848","189696","284544","华东2（上海）"
"ecs.c2i.16xlarge","64","128","16.1967","7904","94848","189696","284544","华南1（广州）"
"ecs.c2i.16xlarge","64","128","16.1967","7904","94848","189696","284544","华北2（北京）"
"ecs.c2i.16xlarge","64","128","19.6444","10880","130560","261120","391680","亚太东南（柔佛）"
"ecs.c2i.28xlarge","112","224","34.3778","19040","228480","456960","685440","亚太东南（柔佛）"
"ecs.c2i.28xlarge","112","224","28.3443","13832","165984","331968","497952","华北2（北京）"
"ecs.c2i.28xlarge","112","224","28.3443","13832","165984","331968","497952","华南1（广州）"
"ecs.c2i.28xlarge","112","224","28.3443","13832","165984","331968","497952","华东2（上海）"
"ecs.c3il.4xlarge","16","32","3.2082","1565.6","18787.2","37574.4","56361.6","华东2（上海）"
"ecs.c3il.4xlarge","16","32","3.2082","1565.6","18787.2","37574.4","56361.6","华南1（广州）"
"ecs.c3il.4xlarge","16","32","3.2082","1565.6","18787.2","37574.4","56361.6","华北2（北京）"
"ecs.c3il.4xlarge","16","32","5.151","2609.84","31318.08","62636.16","93954.24","亚太东南（柔佛）"
"ecs.c3il.8xlarge","32","64","10.302","5219.68","62636.16","125272.32","187908.48","亚太东南（柔佛）"
"ecs.c3il.8xlarge","32","64","6.4164","3131.2","37574.4","75148.8","112723.2","华北2（北京）"
"ecs.c3il.8xlarge","32","64","6.4164","3131.2","37574.4","75148.8","112723.2","华南1（广州）"
"ecs.c3il.8xlarge","32","64","6.4164","3131.2","37574.4","75148.8","112723.2","华东2（上海）"
"ecs.c3il.12xlarge","48","96","9.6246","4696.8","56361.6","112723.2","169084.8","华东2（上海）"
"ecs.c3il.12xlarge","48","96","9.6246","4696.8","56361.6","112723.2","169084.8","华南1（广州）"
"ecs.c3il.12xlarge","48","96","9.6246","4696.8","56361.6","112723.2","169084.8","华北2（北京）"
"ecs.c3il.12xlarge","48","96","15.453","7829.52","93954.24","187908.48","281862.72","亚太东南（柔佛）"
"ecs.g1ie.14xlarge","56","224","12.35","6025.98","72311.82","144623.64","216935.46","华东2（上海）"
"ecs.g1ie.14xlarge","56","224","12.35","6025.98","72311.82","144623.64","216935.46","华南1（广州）"
"ecs.g1ie.14xlarge","56","224","12.35","6025.98","72311.82","144623.64","216935.46","华北2（北京）"
"ecs.g1ie.16xlarge","64","256","15.34","7485.7","89828.35","179656.7","269485.06","华北2（北京）"
"ecs.g1ie.16xlarge","64","256","15.34","7485.7","89828.35","179656.7","269485.06","华南1（广州）"
"ecs.g1ie.16xlarge","64","256","15.34","7485.7","89828.35","179656.7","269485.06","华东2（上海）"
"ecs.g1ie.29xlarge","116","464","27.8","13567.82","162813.84","325627.68","488441.52","华东2（上海）"
"ecs.g1ie.29xlarge","116","464","27.8","13567.82","162813.89","325627.78","488441.66","华南1（广州）"
"ecs.g1ie.29xlarge","116","464","27.8","13567.82","162813.89","325627.78","488441.66","华北2（北京）"
"ecs.g3a.2xlarge","8","32","2.8813","1304.73","15656.71","31313.42","46970.14","亚太东南（柔佛）"
"ecs.g3a.2xlarge","8","32","1.7249","841.76","10101.1","20202.21","30303.31","华北2（北京）"
"ecs.g3a.2xlarge","8","32","1.7249154098","841.76","10101.1","20202.21","30303.31","华南1（广州）"
"ecs.g3a.2xlarge","8","32","1.7249154098","841.76","10101.1","20202.21","30303.31","华东2（上海）"
"ecs.g3a.4xlarge","16","64","3.4498308197","1683.52","20202.21","40404.42","60606.63","华东2（上海）"
"ecs.g3a.4xlarge","16","64","3.4498308197","1683.52","20202.21","40404.42","60606.63","华南1（广州）"
"ecs.g3a.4xlarge","16","64","3.4498","1683.52","20202.21","40404.42","60606.63","华北2（北京）"
"ecs.g3a.4xlarge","16","64","5.7625","2609.45","31313.42","62626.85","93940.27","亚太东南（柔佛）"
"ecs.g3a.8xlarge","32","128","11.5251","5218.9","62626.85","125253.7","187880.55","亚太东南（柔佛）"
"ecs.g3a.8xlarge","32","128","6.8997","3367.03","40404.42","80808.84","121213.26","华北2（北京）"
"ecs.g3a.8xlarge","32","128","6.8996616393","3367.03","40404.42","80808.84","121213.26","华南1（广州）"
"ecs.g3a.8xlarge","32","128","6.8996616393","3367.03","40404.42","80808.84","121213.26","华东2（上海）"
"ecs.g3a.12xlarge","48","192","10.349492459","5050.55","60606.63","121213.26","181819.88","华东2（上海）"
"ecs.g3a.12xlarge","48","192","10.349492459","5050.55","60606.63","121213.26","181819.88","华南1（广州）"
"ecs.g3a.12xlarge","48","192","10.3495","5050.55","60606.63","121213.26","181819.88","华北2（北京）"
"ecs.g3a.12xlarge","48","192","17.2876","7828.36","93940.27","187880.54","281820.82","亚太东南（柔佛）"
"ecs.g3a.16xlarge","64","256","23.0502","10437.81","125253.7","250507.39","375761.09","亚太东南（柔佛）"
"ecs.g3a.16xlarge","64","256","13.7993","6734.07","80808.84","161617.68","242426.51","华北2（北京）"
"ecs.g3a.16xlarge","64","256","13.7993232787","6734.07","80808.84","161617.67","242426.51","华南1（广州）"
"ecs.g3a.16xlarge","64","256","13.7993232787","6734.07","80808.84","161617.67","242426.51","华东2（上海）"
"ecs.g3a.24xlarge","96","384","20.698984918","10101.1","121213.26","242426.51","363639.77","华东2（上海）"
"ecs.g3a.24xlarge","96","384","20.698984918","10101.1","121213.26","242426.51","363639.77","华南1（广州）"
"ecs.g3a.24xlarge","96","384","20.699","10101.1","121213.26","242426.51","363639.77","华北2（北京）"
"ecs.g3a.24xlarge","96","384","34.5752","15656.71","187880.55","375761.09","563641.64","亚太东南（柔佛）"
"ecs.g3a.32xlarge","128","512","46.1003","20875.62","250507.4","501014.79","751522.19","亚太东南（柔佛）"
"ecs.g3a.32xlarge","128","512","27.5986","13468.14","161617.67","323235.35","484853.02","华北2（北京）"
"ecs.g3a.32xlarge","128","512","27.5986465574","13468.14","161617.67","323235.35","484853.02","华南1（广州）"
"ecs.g3a.32xlarge","128","512","27.5986465574","13468.14","161617.67","323235.35","484853.02","华东2（上海）"
"ecs.g3a.48xlarge","192","768","41.3979698361","20202.21","242426.51","484853.02","727279.53","华东2（上海）"
"ecs.g3a.48xlarge","192","768","41.3979698361","20202.21","242426.51","484853.02","727279.53","华南1（广州）"
"ecs.g3a.48xlarge","192","768","41.398","20202.21","242426.51","484853.02","727279.53","华北2（北京）"
"ecs.g3a.48xlarge","192","768","69.1505","31313.42","375761.09","751522.19","1127283.28","亚太东南（柔佛）"
"ecs.g2a.2xlarge","8","32","1.6273","794.11","9529.32","19058.64","28587.96","华北2（北京）"
"ecs.g2a.2xlarge","8","32","1.6273","794.11","9529.32","19058.64","28587.96","华南1（广州）"
"ecs.g2a.2xlarge","8","32","1.6273","794.11","9529.32","19058.64","28587.96","华东2（上海）"
"ecs.g2a.4xlarge","16","64","3.2546","1588.22","19058.64","38117.28","57175.92","华东2（上海）"
"ecs.g2a.4xlarge","16","64","3.2546","1588.22","19058.64","38117.28","57175.92","华南1（广州）"
"ecs.g2a.4xlarge","16","64","3.2546","1588.22","19058.64","38117.28","57175.92","华北2（北京）"
"ecs.g2a.8xlarge","32","128","6.5091","3176.45","38117.4","76234.8","114352.2","华北2（北京）"
"ecs.g2a.8xlarge","32","128","6.5091","3176.45","38117.4","76234.8","114352.2","华南1（广州）"
"ecs.g2a.8xlarge","32","128","6.5091","3176.45","38117.4","76234.8","114352.2","华东2（上海）"
"ecs.g2a.16xlarge","64","256","13.0182","6352.9","76234.8","152469.6","228704.4","华东2（上海）"
"ecs.g2a.16xlarge","64","256","13.0182","6352.9","76234.8","152469.6","228704.4","华南1（广州）"
"ecs.g2a.16xlarge","64","256","13.0182","6352.9","76234.8","152469.6","228704.4","华北2（北京）"
"ecs.g2a.24xlarge","96","384","19.5273","9529.34","114352.13","228704.26","343056.38","华北2（北京）"
"ecs.g2a.24xlarge","96","384","19.5273","9529.34","114352.13","228704.26","343056.38","华南1（广州）"
"ecs.g2a.24xlarge","96","384","19.5273","9529.34","114352.13","228704.26","343056.38","华东2（上海）"
"ecs.g2a.28xlarge","112","448","22.7819","11117.57","133410.84","266821.68","400232.52","华东2（上海）"
"ecs.g2a.28xlarge","112","448","22.7819","11117.57","133410.84","266821.68","400232.52","华南1（广州）"
"ecs.g2a.28xlarge","112","448","22.7819","11117.57","133410.84","266821.68","400232.52","华北2（北京）"
"ecs.g2a.56xlarge","224","896","45.5638","22235.14","266821.68","533643.36","800465.04","华北2（北京）"
"ecs.g2a.56xlarge","224","896","45.5638","22235.14","266821.68","533643.36","800465.04","华南1（广州）"
"ecs.g2a.56xlarge","224","896","45.5638","22235.14","266821.68","533643.36","800465.04","华东2（上海）"
"ecs.g3i.2xlarge","8","32","2.0769","1013.52","12162.24","24324.48","36486.72","华东2（上海）"
"ecs.g3i.2xlarge","8","32","2.0769","1013.52","12162.24","24324.48","36486.72","华南1（广州）"
"ecs.g3i.2xlarge","8","32","2.0769","1013.52","12162.24","24324.48","36486.72","华北2（北京）"
"ecs.g3i.2xlarge","8","32","3.1555","1673.14","20077.68","40155.36","60233.04","亚太东南（柔佛）"
"ecs.g3i.4xlarge","16","64","6.311","3346.28","40155.36","80310.72","120466.08","亚太东南（柔佛）"
"ecs.g3i.4xlarge","16","64","4.1538","2027.04","24324.48","48648.96","72973.44","华北2（北京）"
"ecs.g3i.4xlarge","16","64","4.1538","2027.04","24324.48","48648.96","72973.44","华南1（广州）"
"ecs.g3i.4xlarge","16","64","4.1538","2027.04","24324.48","48648.96","72973.44","华东2（上海）"
"ecs.g3i.8xlarge","32","128","8.3076","4054.08","48648.96","97297.92","145946.88","华东2（上海）"
"ecs.g3i.8xlarge","32","128","8.3076","4054.08","48648.96","97297.92","145946.88","华南1（广州）"
"ecs.g3i.8xlarge","32","128","8.3076","4054.08","48648.96","97297.92","145946.88","华北2（北京）"
"ecs.g3i.8xlarge","32","128","12.6219","6692.56","80310.72","160621.44","240932.16","亚太东南（柔佛）"
"ecs.g3i.12xlarge","48","192","18.9329","10038.84","120466.08","240932.16","361398.24","亚太东南（柔佛）"
"ecs.g3i.12xlarge","48","192","12.4614","6081.12","72973.44","145946.88","218920.32","华北2（北京）"
"ecs.g3i.12xlarge","48","192","12.4614","6081.12","72973.44","145946.88","218920.32","华南1（广州）"
"ecs.g3i.12xlarge","48","192","12.4614","6081.12","72973.44","145946.88","218920.32","华东2（上海）"
"ecs.g3i.16xlarge","64","256","16.6151","8108.16","97297.92","194595.84","291893.76","华东2（上海）"
"ecs.g3i.16xlarge","64","256","16.6151","8108.16","97297.92","194595.84","291893.76","华南1（广州）"
"ecs.g3i.16xlarge","64","256","16.6151","8108.16","97297.92","194595.84","291893.76","华北2（北京）"
"ecs.g3i.16xlarge","64","256","25.2439","13385.12","160621.44","321242.88","481864.32","亚太东南（柔佛）"
"ecs.g3i.24xlarge","96","384","37.8658","20077.68","240932.16","481864.32","722796.48","亚太东南（柔佛）"
"ecs.g3i.24xlarge","96","384","24.9227","12162.24","145946.88","291893.76","437840.64","华北2（北京）"
"ecs.g3i.24xlarge","96","384","24.9227","12162.24","145946.88","291893.76","437840.64","华南1（广州）"
"ecs.g3i.24xlarge","96","384","24.9227","12162.24","145946.88","291893.76","437840.64","华东2（上海）"
"ecs.g3i.48xlarge","192","768","49.8454","24324.48","291893.76","583787.52","875681.28","华东2（上海）"
"ecs.g3i.48xlarge","192","768","49.8454","24324.48","291893.76","583787.52","875681.28","华南1（广州）"
"ecs.g3i.48xlarge","192","768","49.8454","24324.48","291893.76","583787.52","875681.28","华北2（北京）"
"ecs.g3i.48xlarge","192","768","75.7316","40155.36","481864.32","963728.64","1445592.96","亚太东南（柔佛）"
"ecs.g2i.16xlarge","64","256","23.0222","11840","142080","284160","426240","亚太东南（柔佛）"
"ecs.g2i.16xlarge","64","256","16.1311","7872","94464","188928","283392","华北2（北京）"
"ecs.g2i.16xlarge","64","256","16.1311","7872","94464","188928","283392","华南1（广州）"
"ecs.g2i.16xlarge","64","256","16.1311","7872","94464","188928","283392","华东2（上海）"
"ecs.g3il.2xlarge","8","32","2.0769","1013.52","12162.24","24324.48","36486.72","华东2（上海）"
"ecs.g3il.2xlarge","8","32","2.0769","1013.52","12162.24","24324.48","36486.72","华南1（广州）"
"ecs.g3il.2xlarge","8","32","2.0769","1013.52","12162.24","24324.48","36486.72","华北2（北京）"
"ecs.g3il.2xlarge","8","32","3.1555","1673.14","20077.68","40155.36","60233.04","亚太东南（柔佛）"
"ecs.g3il.4xlarge","16","64","6.311","3346.28","40155.36","80310.72","120466.08","亚太东南（柔佛）"
"ecs.g3il.4xlarge","16","64","4.1538","2027.04","24324.48","48648.96","72973.44","华北2（北京）"
"ecs.g3il.4xlarge","16","64","4.1538","2027.04","24324.48","48648.96","72973.44","华南1（广州）"
"ecs.g3il.4xlarge","16","64","4.1538","2027.04","24324.48","48648.96","72973.44","华东2（上海）"
"ecs.g3il.8xlarge","32","128","8.3076","4054.08","48648.96","97297.92","145946.88","华东2（上海）"
"ecs.g3il.8xlarge","32","128","8.3076","4054.08","48648.96","97297.92","145946.88","华南1（广州）"
"ecs.g3il.8xlarge","32","128","8.3076","4054.08","48648.96","97297.92","145946.88","华北2（北京）"
"ecs.g3il.8xlarge","32","128","12.6219","6692.56","80310.72","160621.44","240932.16","亚太东南（柔佛）"
"ecs.g3il.12xlarge","48","192","18.9329","10038.84","120466.08","240932.16","361398.24","亚太东南（柔佛）"
"ecs.g3il.12xlarge","48","192","12.4614","6081.12","72973.44","145946.88","218920.32","华北2（北京）"
"ecs.g3il.12xlarge","48","192","12.4614","6081.12","72973.44","145946.88","218920.32","华南1（广州）"
"ecs.g3il.12xlarge","48","192","12.4614","6081.12","72973.44","145946.88","218920.32","华东2（上海）"
"ecs.g3il.16xlarge","64","256","16.6151","8108.16","97297.92","194595.84","291893.76","华东2（上海）"
"ecs.g3il.16xlarge","64","256","16.6151","8108.16","97297.92","194595.84","291893.76","华南1（广州）"
"ecs.g3il.16xlarge","64","256","16.6151","8108.16","97297.92","194595.84","291893.76","华北2（北京）"
"ecs.g3il.16xlarge","64","256","25.2439","13385.12","160621.44","321242.88","481864.32","亚太东南（柔佛）"
"ecs.g3il.23xlarge","92","368","41.8245","22176.71","266120.52","532241.04","798361.57","亚太东南（柔佛）"
"ecs.g3il.23xlarge","92","368","27.5282","13433.75","161205","322410","483615","华北2（北京）"
"ecs.g3il.23xlarge","92","368","27.5282","13433.75","161205","322410","483615","华南1（广州）"
"ecs.g3il.23xlarge","92","368","27.5282","13433.75","161205","322410","483615","华东2（上海）"
"ecs.g3il.45xlarge","180","720","55.0565","26867.5","322410","644820","967230","华东2（上海）"
"ecs.g3il.45xlarge","180","720","55.0565","26867.5","322410","644820","967230","华南1（广州）"
"ecs.g3il.45xlarge","180","720","55.0565","26867.5","322410","644820","967230","华北2（北京）"
"ecs.g3il.45xlarge","180","720","83.6491","44353.42","532241.04","1064482.09","1596723.13","亚太东南（柔佛）"
"ecs.i3s.3xlarge","12","96","5.3671","2619.15","31429.8","62859.6","94289.4","华东2（上海）"
"ecs.i3s.3xlarge","12","96","5.3671","2619.15","31429.8","62859.6","94289.4","华南1（广州）"
"ecs.i3s.3xlarge","12","96","5.3671","2619.15","31429.8","62859.6","94289.4","华北2（北京）"
"ecs.i3s.3xlarge","12","96","7.0229","3370.98","40451.78","80903.56","121355.34","亚太东南（柔佛）"
"ecs.i3s.6xlarge","24","192","14.0458","6741.96","80903.56","161807.13","242710.69","亚太东南（柔佛）"
"ecs.i3s.6xlarge","24","192","10.7342","5238.3","62859.6","125719.2","188578.8","华北2（北京）"
"ecs.i3s.6xlarge","24","192","10.7342","5238.3","62859.6","125719.2","188578.8","华南1（广州）"
"ecs.i3s.6xlarge","24","192","10.7342","5238.3","62859.6","125719.2","188578.8","华东2（上海）"
"ecs.i3s.12xlarge","48","384","21.4684","10476.6","125719.2","251438.4","377157.6","华东2（上海）"
"ecs.i3s.12xlarge","48","384","21.4684","10476.6","125719.2","251438.4","377157.6","华南1（广州）"
"ecs.i3s.12xlarge","48","384","21.4684","10476.6","125719.2","251438.4","377157.6","华北2（北京）"
"ecs.i3s.12xlarge","48","384","28.0915","13483.93","161807.13","323614.25","485421.38","亚太东南（柔佛）"
"ecs.i3s.24xlarge","96","768","56.183","26967.85","323614.25","647228.51","970842.76","亚太东南（柔佛）"
"ecs.i3s.24xlarge","96","768","42.9369","20953.2","251438.4","502876.8","754315.2","华北2（北京）"
"ecs.i3s.24xlarge","96","768","42.9369","20953.2","251438.4","502876.8","754315.2","华南1（广州）"
"ecs.i3s.24xlarge","96","768","42.9369","20953.2","251438.4","502876.8","754315.2","华东2（上海）"
"ecs.d2.28xlarge","112","896","44.5532","21741.94","260903.25","521806.5","782709.75","华东2（上海）"
"ecs.d2.28xlarge","112","896","44.5532","21741.94","260903.25","521806.5","782709.75","华南1（广州）"
"ecs.d2.28xlarge","112","896","44.5532","21741.94","260903.25","521806.5","782709.75","华北2（北京）"
"ecs.d2.28xlarge","112","896","58.268","32271.56","387258.69","774517.39","1161776.08","亚太东南（柔佛）"
,
,
,
类型,按量计费 (小时),包月,包1年,包2年,包3年,地域
"数据盘-极速型SSD FlexPL","0.0033","1.5","18","36","54","亚太东南（柔佛）"
"数据盘-极速型SSD FlexPL","0.0021","1","12","24","36","华东2（上海）"
"数据盘-极速型SSD FlexPL","0.0021","1","12","24","36","华南1（广州）"
"数据盘-极速型SSD FlexPL","0.0021","1","12","24","36","华北2（北京）"
"数据盘-极速型SSD PL0","0.00165","0.75","9","18","27","亚太东南（柔佛）"
"数据盘-极速型SSD PL0","0.00105","0.5","6","12","18","华东2（上海）"
"数据盘-极速型SSD PL0","0.00105","0.5","6","12","18","华南1（广州）"
"数据盘-极速型SSD PL0","0.00105","0.5","6","12","18","华北2（北京）"
,
,
,
类型,按量计费 (小时),包月,包1年,包2年,包3年,地域
"系统盘-极速型SSD FlexPL","0.0033","1.5","18","36","54","亚太东南（柔佛）"
"系统盘-极速型SSD FlexPL","0.0021","1","12","24","36","华东2（上海）"
"系统盘-极速型SSD FlexPL","0.0021","1","12","24","36","华南1（广州）"
"系统盘-极速型SSD FlexPL","0.0021","1","12","24","36","华北2（北京）"
"系统盘-极速型SSD PL0","0.00165","0.75","9","18","27","亚太东南（柔佛）"
"系统盘-极速型SSD PL0","0.00105","0.5","6","12","18","华东2（上海）"
"系统盘-极速型SSD PL0","0.00105","0.5","6","12","18","华北2（北京）"
"系统盘-极速型SSD PL0","0.00105","0.5","6","12","18","华南1（广州）"
