节点规格,按量计费 (小时),包月,包1年,包2年,包3年,价格单位,地域
"rds.mysql.c.s.4c32g(通用规格-4c32g)","1.29167","620","7440","14880","22320","个","华南1（广州）"
"rds.mysql.c.s.4c32g(通用规格-4c32g)","1.29167","620","7440","14880","22320","个","华北2（北京）"
"rds.mysql.c.s.4c32g(通用规格-4c32g)","1.875","900","10800","21600","32400","个","亚太东南（雅加达）"
"rds.mysql.c.s.4c32g(通用规格-4c32g)","2.29167","1100","13200","26400","39600","个","亚太东南（柔佛）"
"rds.mysql.c.s.8c16g(通用规格-8c16g)","1.33333","640","7680","15360","23040","个","华东2（上海）"
"rds.mysql.c.s.8c16g(通用规格-8c16g)","3.07292","1475","17700","35400","53100","个","中国香港"
"rds.mysql.c.s.8c16g(通用规格-8c16g)","1.33333","640","7680","15360","23040","个","华南1（广州）"
"rds.mysql.c.s.8c16g(通用规格-8c16g)","1.33333","640","7680","15360","23040","个","华北2（北京）"
"rds.mysql.c.s.8c16g(通用规格-8c16g)","1.91667","920","11040","22080","33120","个","亚太东南（雅加达）"
"rds.mysql.c.s.8c16g(通用规格-8c16g)","2.39583","1150","13800","27600","41400","个","亚太东南（柔佛）"
"rds.mysql.c.s.8c32g(通用规格-8c32g)","2","960","11520","23040","34560","个","华东2（上海）"
"rds.mysql.c.s.8c32g(通用规格-8c32g)","4.27083","2050","24600","49200","73800","个","中国香港"
"rds.mysql.c.s.8c32g(通用规格-8c32g)","2","960","11520","23040","34560","个","华南1（广州）"
"rds.mysql.c.s.8c32g(通用规格-8c32g)","2","960","11520","23040","34560","个","华北2（北京）"
"rds.mysql.c.s.8c32g(通用规格-8c32g)","2.875","1380","16560","33120","49680","个","亚太东南（雅加达）"
"rds.mysql.c.s.8c32g(通用规格-8c32g)","3.48958","1675","20100","40200","60300","个","亚太东南（柔佛）"
"rds.mysql.c.s.8c64g(通用规格-8c64g)","2.60417","1250","15000","30000","45000","个","华东2（上海）"
"rds.mysql.c.s.8c64g(通用规格-8c64g)","5.72917","2750","33000","66000","99000","个","中国香港"
"rds.mysql.c.s.8c64g(通用规格-8c64g)","2.60417","1250","15000","30000","45000","个","华南1（广州）"
"rds.mysql.c.s.8c64g(通用规格-8c64g)","2.60417","1250","15000","30000","45000","个","华北2（北京）"
"rds.mysql.c.s.8c64g(通用规格-8c64g)","3.75","1800","21600","43200","64800","个","亚太东南（雅加达）"
"rds.mysql.c.s.8c64g(通用规格-8c64g)","4.16667","2000","24000","48000","72000","个","亚太东南（柔佛）"
"rds.mysql.c.s.16c32g(通用规格-16c32g)","2.91667","1400","16800","33600","50400","个","华东2（上海）"
"rds.mysql.c.s.16c32g(通用规格-16c32g)","6.5625","3150","37800","75600","113400","个","中国香港"
"rds.mysql.c.s.16c32g(通用规格-16c32g)","2.91667","1400","16800","33600","50400","个","华南1（广州）"
"rds.mysql.c.s.16c32g(通用规格-16c32g)","2.91667","1400","16800","33600","50400","个","华北2（北京）"
"rds.mysql.c.s.16c32g(通用规格-16c32g)","4.16667","2000","24000","48000","72000","个","亚太东南（雅加达）"
"rds.mysql.c.s.16c32g(通用规格-16c32g)","4.79167","2300","27600","55200","82800","个","亚太东南（柔佛）"
"rds.mysql.c.s.16c64g(通用规格-16c64g)","4.375","2100","25200","50400","75600","个","华东2（上海）"
"rds.mysql.c.s.16c64g(通用规格-16c64g)","8.85417","4250","51000","102000","153000","个","中国香港"
"rds.mysql.c.s.16c64g(通用规格-16c64g)","4.375","2100","25200","50400","75600","个","华南1（广州）"
"rds.mysql.c.s.16c64g(通用规格-16c64g)","4.375","2100","25200","50400","75600","个","华北2（北京）"
"rds.mysql.c.s.16c64g(通用规格-16c64g)","5.83333","2800","33600","67200","100800","个","亚太东南（雅加达）"
"rds.mysql.c.s.16c64g(通用规格-16c64g)","6.875","3300","39600","79200","118800","个","亚太东南（柔佛）"
"rds.mysql.c.s.16c128g(通用规格-16c128g)","5.72917","2750","33000","66000","99000","个","华东2（上海）"
"rds.mysql.c.s.16c128g(通用规格-16c128g)","11.45833","5500","66000","132000","198000","个","中国香港"
"rds.mysql.c.s.16c128g(通用规格-16c128g)","5.72917","2750","33000","66000","99000","个","华南1（广州）"
"rds.mysql.c.s.16c128g(通用规格-16c128g)","5.72917","2750","33000","66000","99000","个","华北2（北京）"
"rds.mysql.c.s.16c128g(通用规格-16c128g)","7.60417","3650","43800","87600","131400","个","亚太东南（雅加达）"
"rds.mysql.c.s.16c128g(通用规格-16c128g)","8.33333","4000","48000","96000","144000","个","亚太东南（柔佛）"
,
,
,
类型,按量计费 (小时),包月,包1年,包2年,包3年,价格单位,地域
"本地SSD","0.00125","0.6","7.2","14.4","21.6","GiB","亚太东南（雅加达）"
"本地SSD","0.00115","0.55","6.6","13.2","19.8","GiB","中国香港"
"本地SSD","0.00125","0.6","7.2","14.4","21.6","GiB","华东2（上海）"
"本地SSD","0.00125","0.6","7.2","14.4","21.6","GiB","华南1（广州）"
"本地SSD","0.00125","0.6","7.2","14.4","21.6","GiB","华北2（北京）"
"本地SSD","0.00188","0.9","10.8","21.6","32.4","GiB","亚太东南（柔佛）"
"FlexPL云盘","0.00167","0.8","9.6","19.2","28.8","GiB","华东2（上海）"
"FlexPL云盘","0.00229","1.1","13.2","26.4","39.6","GiB","中国香港"
"FlexPL云盘","0.00167","0.8","9.6","19.2","28.8","GiB","华南1（广州）"
"FlexPL云盘","0.00167","0.8","9.6","19.2","28.8","GiB","华北2（北京）"
"FlexPL云盘","0.00208","1","12","24","36","GiB","亚太东南（雅加达）"
"FlexPL云盘","0.0025","1.2","14.4","28.8","43.2","GiB","亚太东南（柔佛）"
"PL0云盘","0.00146","0.7","8.4","16.8","25.2","GiB","亚太东南（柔佛）"
"PL0云盘","0.00104","0.5","6","12","18","GiB","亚太东南（雅加达）"
"PL0云盘","0.00083","0.4","4.8","9.6","14.4","GiB","华北2（北京）"
"PL0云盘","0.00083","0.4","4.8","9.6","14.4","GiB","华南1（广州）"
"PL0云盘","0.00104","0.5","6","12","18","GiB","中国香港"
"PL0云盘","0.00083","0.4","4.8","9.6","14.4","GiB","华东2（上海）"
,
,
,
收费类型,地域,价格（元/GB/小时）,地域
"基础备份空间","华北2（北京）","0.0002","华北2（北京）"
"基础备份空间","华东2（上海）","0.0002","华东2（上海）"
"基础备份空间","华南1（广州）","0.0002","华南1（广州）"
"基础备份空间","中国香港","0.0008","中国香港"
"基础备份空间","亚太东南（柔佛）","0.0008","亚太东南（柔佛）"
"基础备份空间","亚太东南（雅加达）","0.0008","亚太东南（雅加达）"
,
,
,
收费类型,地域,价格（元/GB/小时）,地域
"跨地域备份空间","华北2（北京）","0.0008","华北2（北京）"
"跨地域备份空间","华东2（上海）	","0.0008","华东2（上海）"
"跨地域备份空间","华南1（广州）	","0.0008","华南1（广州）"
"跨地域备份空间","中国香港","0.0008","中国香港"
"跨地域备份空间","亚太东南（柔佛）","0.0008","亚太东南（柔佛）"
"跨地域备份空间","亚太东南（雅加达）","0.0008","亚太东南（雅加达）"
,
,
,
收费类型,地域,价格（元/GB/小时）,地域
"已删除备份空间","华北2（北京）","0.0002","华北2（北京）"
"已删除备份空间","华东2（上海）","0.0002","华东2（上海）"
"已删除备份空间","华南1（广州）","0.0002","华南1（广州）"
"已删除备份空间","中国香港","0.0008","中国香港"
"已删除备份空间","亚太东南（柔佛）","0.0008","亚太东南（柔佛）"
"已删除备份空间","亚太东南（雅加达）","0.0008","亚太东南（雅加达）"
,
,
,
地域,价格（元/核/小时）,地域
"华北2（北京）","0.219","华北2（北京）"
"华东2（上海）","0.219","华东2（上海）"
"华南1（广州）","0.219","华南1（广州）"
"中国香港","0.366","中国香港"
"亚太东南（柔佛）","0.375","亚太东南（柔佛）"
"亚太东南（雅加达）","0.375","亚太东南（雅加达）"
,
,
,
规格,包月,用量单位,地域
"存储包-100GB","60","GiB",-
"存储包-200GB","120","GiB",-
"存储包-300GB","180","GiB",-
"存储包-500GB","300","GiB",-
"存储包-1000GB","600","GiB",-
"存储包-2000GB","1200","GiB",-
"存储包-5000GB","3000","GiB",-
"存储包-10000GB","6000","GiB",-
