节点规格,按量计费 (小时),包月,包1年,包2年,包3年,价格单位,地域
"rds.mysql.d1.64c128g(独享规格-64C128G)","47.92","23000","276000","552000","828000","个","亚太东南（雅加达）"
"rds.mysql.d1.64c256g(独享规格-64C256G)","57.59","27645","331740","663480","995220","个","中国香港"
"rds.mysql.d1.64c256g(独享规格-64C256G)","41.67","20000","240000","480000","720000","个","华北2（北京）"
"rds.mysql.d1.64c256g(独享规格-64C256G)","41.67","20000","240000","480000","720000","个","华南1（广州）"
"rds.mysql.d1.64c256g(独享规格-64C256G)","41.67","20000","240000","480000","720000","个","华东2（上海）"
"rds.mysql.d1.64c256g(独享规格-64C256G)","62.505","30000","360000","720000","1080000","个","亚太东南（柔佛）"
"rds.mysql.d1.64c256g(独享规格-64C256G)","60.42","29000","348000","696000","1044000","个","亚太东南（雅加达）"
"rds.mysql.d1.64c512g(独享规格-64C512G)","74.22","35625","427500","855000","1282500","个","中国香港"
"rds.mysql.d1.64c512g(独享规格-64C512G)","78.12","37500","450000","900000","1350000","个","亚太东南（柔佛）"
"rds.mysql.d1.64c512g(独享规格-64C512G)","52.08","25000","300000","600000","900000","个","华东2（上海）"
"rds.mysql.d1.64c512g(独享规格-64C512G)","52.08","25000","300000","600000","900000","个","华南1（广州）"
"rds.mysql.d1.64c512g(独享规格-64C512G)","52.08","25000","300000","600000","900000","个","华北2（北京）"
"rds.mysql.d1.64c512g(独享规格-64C512G)","83.34","40000","480000","960000","1440000","个","亚太东南（雅加达）"
"rds.mysql.d1.88c720g(独享规格-88C720G)","104.5","50160","601920","1203840","1805760","个","中国香港"
"rds.mysql.d1.88c720g(独享规格-88C720G)","109.38","52500","630000","1260000","1890000","个","亚太东南（柔佛）"
"rds.mysql.d1.88c720g(独享规格-88C720G)","72.92","35000","420000","840000","1260000","个","华北2（北京）"
"rds.mysql.d1.88c720g(独享规格-88C720G)","72.92","35000","420000","840000","1260000","个","华南1（广州）"
"rds.mysql.d1.88c720g(独享规格-88C720G)","72.92","35000","420000","840000","1260000","个","华东2（上海）"
"rds.mysql.d1.88c720g(独享规格-88C720G)","108.34","52000","624000","1248000","1872000","个","亚太东南（雅加达）"
"rds.mysql.d1.108c864g(独享规格-108C864G)","127.66","61275","735300","1470600","2205900","个","中国香港"
"rds.mysql.d1.108c864g(独享规格-108C864G)","89.58","43000","516000","1032000","1548000","个","华东2（上海）"
